Date,Department,Age,Employees
201009,Immigration Refugees and Citizenship Canada,45-49,699
201109,Immigration Refugees and Citizenship Canada,45-49,699
201112,National Research Council Canada,45-49,699
201309,Agriculture and Agri-Food Canada,40-44,699
201412,Agriculture and Agri-Food Canada,45-49,699
201412,Innovation Science and Economic Development Canada,45-49,699
201412,Statistics Canada,55-59,699
201503,Indigenous and Northern Affairs Canada,45-49,699
201506,Shared Services Canada,35-39,699
201603,Transport Canada,40-44,699
201003,Agriculture and Agri-Food Canada,30-34,698
201109,Natural Resources Canada,45-49,698
201112,Statistics Canada,25-29,698
201212,Immigration Refugees and Citizenship Canada,30-34,698
201503,Royal Canadian Mounted Police (Civilian Staff),30-34,698
201603,Transport Canada,35-39,698
200906,Transport Canada,55-59,697
200912,Royal Canadian Mounted Police (Civilian Staff),55-59,697
201012,Immigration Refugees and Citizenship Canada,50-54,697
201106,Parks Canada,20-24,697
201503,Indigenous and Northern Affairs Canada,35-39,697
200903,Innovation Science and Economic Development Canada,30-34,696
200903,Canadian Food Inspection Agency,55-59,696
201009,Indigenous and Northern Affairs Canada,30-34,696
201203,Transport Canada,40-44,696
200909,Agriculture and Agri-Food Canada,30-34,695
200912,Immigration Refugees and Citizenship Canada,50-54,695
201003,Immigration Refugees and Citizenship Canada,45-49,695
201106,Veterans Affairs Canada,45-49,695
201203,National Research Council Canada,45-49,695
201209,Shared Services Canada,40-44,695
201303,Innovation Science and Economic Development Canada,40-44,695
201306,Agriculture and Agri-Food Canada,35-39,695
201306,Department of Justice Canada,35-39,695
201403,National Research Council Canada,50-54,695
201506,Indigenous and Northern Affairs Canada,45-49,695
201509,Transport Canada,55-59,695
201603,Indigenous and Northern Affairs Canada,45-49,695
201603,Transport Canada,55-59,695
201009,Royal Canadian Mounted Police (Civilian Staff),55-59,694
201212,Transport Canada,55-59,694
201303,Agriculture and Agri-Food Canada,35-39,694
201506,Transport Canada,35-39,694
201506,Transport Canada,40-44,694
201509,Indigenous and Northern Affairs Canada,45-49,694
201509,Royal Canadian Mounted Police (Civilian Staff),30-34,694
200803,Canadian Food Inspection Agency,25-29,693
201103,Immigration Refugees and Citizenship Canada,50-54,693
201112,Natural Resources Canada,45-49,693
201409,Natural Resources Canada,50-54,693
201512,Environment and Climate Change Canada,55-59,693
200806,Agriculture and Agri-Food Canada,20-24,692
200809,Canadian Food Inspection Agency,25-29,692
201206,Canada Border Services Agency,20-24,692
201503,Transport Canada,40-44,692
201506,Royal Canadian Mounted Police (Civilian Staff),30-34,692
200803,Department of Justice Canada,30-34,691
200806,Royal Canadian Mounted Police (Civilian Staff),35-39,691
200809,Canadian Food Inspection Agency,55-59,691
200812,Agriculture and Agri-Food Canada,30-34,691
200906,Canadian Food Inspection Agency,25-29,691
201409,Innovation Science and Economic Development Canada,45-49,691
200906,Parks Canada,20-24,690
200909,National Research Council Canada,40-44,690
201506,Agriculture and Agri-Food Canada,45-49,690
201509,Correctional Service Canada,60-64,690
200909,Indigenous and Northern Affairs Canada,30-34,689
201003,Global Affairs Canada,55-59,689
201109,Innovation Science and Economic Development Canada,30-34,689
201312,Statistics Canada,30-34,689
201406,Parks Canada,20-24,689
201503,Statistics Canada,30-34,689
200903,Parks Canada,45-49,688
200906,Indigenous and Northern Affairs Canada,35-39,688
200906,Indigenous and Northern Affairs Canada,40-44,688
201106,Indigenous and Northern Affairs Canada,30-34,688
201112,Public Services and Procurement Canada,60-64,688
201209,Transport Canada,55-59,688
201212,Immigration Refugees and Citizenship Canada,35-39,688
201312,National Research Council Canada,50-54,688
200906,National Research Council Canada,40-44,687
201009,Public Services and Procurement Canada,60-64,687
201012,Royal Canadian Mounted Police (Civilian Staff),55-59,687
201112,Correctional Service Canada,60-64,687
201203,Public Services and Procurement Canada,60-64,687
201206,Royal Canadian Mounted Police (Civilian Staff),30-34,687
201409,Correctional Service Canada,60-64,687
201512,Transport Canada,55-59,687
200812,Transport Canada,55-59,686
200903,National Research Council Canada,40-44,686
201203,Environment and Climate Change Canada,55-59,686
201312,Veterans Affairs Canada,50-54,686
201509,Statistics Canada,30-34,686
200803,Royal Canadian Mounted Police (Civilian Staff),35-39,685
200912,Indigenous and Northern Affairs Canada,30-34,685
201003,Parks Canada,45-49,685
201006,Agriculture and Agri-Food Canada,30-34,685
201006,Parks Canada,55-59,685
201106,Agriculture and Agri-Food Canada,30-34,685
201203,Immigration Refugees and Citizenship Canada,50-54,685
201306,Innovation Science and Economic Development Canada,40-44,685
201309,Department of Justice Canada,35-39,685
201403,Department of Justice Canada,35-39,685
201406,Innovation Science and Economic Development Canada,40-44,685
201509,Parks Canada,55-59,685
200803,National Research Council Canada,40-44,684
200806,National Research Council Canada,50-54,684
201109,Parks Canada,55-59,684
201303,National Research Council Canada,50-54,684
200903,Indigenous and Northern Affairs Canada,50-54,683
200912,National Research Council Canada,40-44,683
201109,Public Services and Procurement Canada,60-64,683
201203,Royal Canadian Mounted Police (Civilian Staff),30-34,683
201309,National Research Council Canada,50-54,683
201312,Department of Justice Canada,35-39,683
201312,Correctional Service Canada,60-64,683
201406,Correctional Service Canada,60-64,683
201412,Veterans Affairs Canada,50-54,683
201509,Department of Justice Canada,50-54,683
200803,Indigenous and Northern Affairs Canada,50-54,682
200909,Royal Canadian Mounted Police (Civilian Staff),55-59,682
200912,Global Affairs Canada,55-59,682
201006,Indigenous and Northern Affairs Canada,30-34,682
201006,Immigration Refugees and Citizenship Canada,30-34,682
201103,Royal Canadian Mounted Police (Civilian Staff),55-59,682
201212,Correctional Service Canada,60-64,682
201309,Innovation Science and Economic Development Canada,40-44,682
201412,Natural Resources Canada,50-54,682
201506,Canada Revenue Agency,65-69,682
200812,National Research Council Canada,40-44,681
200909,Immigration Refugees and Citizenship Canada,50-54,681
200912,Agriculture and Agri-Food Canada,30-34,681
201009,Transport Canada,40-44,681
201309,Immigration Refugees and Citizenship Canada,30-34,681
201309,Health Canada,25-29,681
201403,Correctional Service Canada,60-64,681
201409,Royal Canadian Mounted Police (Civilian Staff),30-34,681
201412,Statistics Canada,30-34,681
201506,Indigenous and Northern Affairs Canada,35-39,681
201506,Department of Justice Canada,50-54,681
200812,Indigenous and Northern Affairs Canada,50-54,680
201009,Department of Justice Canada,30-34,680
201106,Environment and Climate Change Canada,25-29,680
201203,Immigration Refugees and Citizenship Canada,35-39,680
201403,Veterans Affairs Canada,50-54,680
201503,Innovation Science and Economic Development Canada,45-49,680
201509,Canadian Food Inspection Agency,55-59,680
201603,Shared Services Canada,55-59,680
200912,Immigration Refugees and Citizenship Canada,30-34,679
201109,Veterans Affairs Canada,45-49,679
201112,Department of Justice Canada,30-34,679
201309,Fisheries and Oceans Canada,25-29,679
201403,Innovation Science and Economic Development Canada,40-44,679
201512,Agriculture and Agri-Food Canada,45-49,679
201603,Innovation Science and Economic Development Canada,45-49,679
200812,Innovation Science and Economic Development Canada,30-34,678
200903,Transport Canada,40-44,678
200909,Department of Justice Canada,45-49,678
201003,Department of Justice Canada,30-34,678
201109,Agriculture and Agri-Food Canada,30-34,678
201206,National Research Council Canada,45-49,678
201209,National Research Council Canada,45-49,678
201212,Royal Canadian Mounted Police (Civilian Staff),30-34,678
201306,National Research Council Canada,50-54,678
201403,Transport Canada,55-59,678
201406,Veterans Affairs Canada,50-54,678
201412,Environment and Climate Change Canada,55-59,678
201503,Canadian Food Inspection Agency,30-34,678
201506,Statistics Canada,30-34,678
200903,Immigration Refugees and Citizenship Canada,45-49,677
201203,Natural Resources Canada,45-49,677
201206,Innovation Science and Economic Development Canada,40-44,677
201103,Agriculture and Agri-Food Canada,30-34,676
201203,Department of Justice Canada,50-54,676
201406,Agriculture and Agri-Food Canada,20-24,676
201503,Natural Resources Canada,50-54,676
200909,Innovation Science and Economic Development Canada,35-39,675
201006,Department of Justice Canada,30-34,675
201006,Royal Canadian Mounted Police (Civilian Staff),55-59,675
201206,National Defence,20-24,675
201209,Correctional Service Canada,60-64,675
201209,Statistics Canada,30-34,675
201212,National Research Council Canada,45-49,675
201312,Immigration Refugees and Citizenship Canada,40-44,675
200809,National Research Council Canada,40-44,674
201012,Agriculture and Agri-Food Canada,30-34,674
201212,Innovation Science and Economic Development Canada,40-44,674
201303,Royal Canadian Mounted Police (Civilian Staff),30-34,674
201312,Transport Canada,55-59,674
201409,Veterans Affairs Canada,50-54,674
201503,Veterans Affairs Canada,50-54,674
201506,Parks Canada,55-59,674
201603,Fisheries and Oceans Canada,25-29,674
200803,Transport Canada,55-59,673
200806,National Research Council Canada,40-44,673
200909,Canadian Food Inspection Agency,25-29,673
201003,Environment and Climate Change Canada,55-59,673
201009,Immigration Refugees and Citizenship Canada,50-54,673
201012,Royal Canadian Mounted Police (Civilian Staff),30-34,673
201109,Indigenous and Northern Affairs Canada,30-34,673
201112,Innovation Science and Economic Development Canada,30-34,673
201403,Canada Revenue Agency,65-69,673
201406,Canada Revenue Agency,65-69,673
201406,Royal Canadian Mounted Police (Civilian Staff),30-34,673
201409,Statistics Canada,30-34,673
200803,Canadian Food Inspection Agency,55-59,672
200806,Global Affairs Canada,55-59,672
200806,Canadian Food Inspection Agency,55-59,672
201312,Innovation Science and Economic Development Canada,40-44,672
201512,Public Services and Procurement Canada,60-64,672
200912,Environment and Climate Change Canada,55-59,671
200912,Immigration Refugees and Citizenship Canada,45-49,671
201006,Immigration Refugees and Citizenship Canada,45-49,671
201112,Veterans Affairs Canada,45-49,671
201203,Department of Justice Canada,30-34,671
201406,Statistics Canada,30-34,671
201409,Statistics Canada,55-59,671
201412,Correctional Service Canada,60-64,671
201503,Correctional Service Canada,60-64,671
201603,Agriculture and Agri-Food Canada,45-49,671
200812,Environment and Climate Change Canada,25-29,670
200812,Global Affairs Canada,55-59,670
200812,Statistics Canada,25-29,670
201006,Parks Canada,35-39,670
201112,Immigration Refugees and Citizenship Canada,35-39,670
201112,Immigration Refugees and Citizenship Canada,50-54,670
201306,Immigration Refugees and Citizenship Canada,30-34,670
201312,Immigration Refugees and Citizenship Canada,50-54,670
201503,Department of Justice Canada,50-54,670
201506,Innovation Science and Economic Development Canada,45-49,670
201506,Natural Resources Canada,50-54,670
201509,Innovation Science and Economic Development Canada,45-49,670
201006,Transport Canada,40-44,669
201012,Public Services and Procurement Canada,20-24,669
201212,Indigenous and Northern Affairs Canada,30-34,669
201306,Fisheries and Oceans Canada,25-29,669
201409,Transport Canada,55-59,669
201503,Environment and Climate Change Canada,55-59,669
201512,Innovation Science and Economic Development Canada,45-49,669
200803,National Research Council Canada,50-54,668
200809,Global Affairs Canada,55-59,668
200812,Transport Canada,40-44,668
200903,Global Affairs Canada,55-59,668
201103,Public Services and Procurement Canada,20-24,668
201203,Veterans Affairs Canada,45-49,668
201509,Agriculture and Agri-Food Canada,45-49,668
201509,Environment and Climate Change Canada,55-59,668
201512,Shared Services Canada,55-59,668
200803,Innovation Science and Economic Development Canada,30-34,667
200803,Global Affairs Canada,55-59,667
200909,Royal Canadian Mounted Police (Civilian Staff),30-34,667
201006,Environment and Climate Change Canada,55-59,667
201006,Royal Canadian Mounted Police (Civilian Staff),30-34,667
201009,Agriculture and Agri-Food Canada,30-34,667
201212,Immigration Refugees and Citizenship Canada,45-49,667
201403,Royal Canadian Mounted Police (Civilian Staff),30-34,667
201412,Canada Revenue Agency,65-69,667
201512,Indigenous and Northern Affairs Canada,35-39,667
200906,Immigration Refugees and Citizenship Canada,45-49,666
201006,Public Services and Procurement Canada,20-24,666
201012,National Research Council Canada,40-44,666
201109,Royal Canadian Mounted Police (Civilian Staff),30-34,666
201209,Indigenous and Northern Affairs Canada,30-34,666
201209,Royal Canadian Mounted Police (Civilian Staff),30-34,666
201303,Global Affairs Canada,25-29,666
201212,Statistics Canada,30-34,665
201303,Transport Canada,55-59,665
201306,Correctional Service Canada,60-64,665
201309,Transport Canada,55-59,665
201312,Agriculture and Agri-Food Canada,40-44,665
201312,Health Canada,25-29,665
201506,Veterans Affairs Canada,50-54,665
201506,Correctional Service Canada,60-64,665
200803,Parks Canada,45-49,664
200803,Transport Canada,40-44,664
201003,Transport Canada,40-44,664
201112,Environment and Climate Change Canada,55-59,664
201212,Environment and Climate Change Canada,55-59,664
201403,Agriculture and Agri-Food Canada,40-44,664
201409,Agriculture and Agri-Food Canada,40-44,664
201509,Parks Canada,35-39,664
200803,Statistics Canada,25-29,663
200906,Transport Canada,40-44,663
200906,Royal Canadian Mounted Police (Civilian Staff),55-59,663
201203,Correctional Service Canada,60-64,663
201406,Transport Canada,55-59,663
200906,Parks Canada,55-59,662
200906,Royal Canadian Mounted Police (Civilian Staff),30-34,662
201012,Parks Canada,45-49,662
201112,Royal Canadian Mounted Police (Civilian Staff),30-34,662
201309,Agriculture and Agri-Food Canada,35-39,662
201309,Correctional Service Canada,60-64,662
201509,Canada Revenue Agency,65-69,662
201509,Natural Resources Canada,50-54,662
201512,Department of Justice Canada,35-39,662
201603,Agriculture and Agri-Food Canada,40-44,662
200809,Innovation Science and Economic Development Canada,30-34,661
200809,Transport Canada,55-59,661
200909,Global Affairs Canada,55-59,661
200909,Transport Canada,40-44,661
201003,National Research Council Canada,40-44,661
201103,Global Affairs Canada,55-59,661
201106,Immigration Refugees and Citizenship Canada,50-54,661
201209,Parks Canada,45-49,661
201209,Innovation Science and Economic Development Canada,40-44,661
201412,Transport Canada,40-44,661
201506,Environment and Climate Change Canada,55-59,661
200803,Immigration Refugees and Citizenship Canada,50-54,660
200906,Department of Justice Canada,45-49,660
201009,Parks Canada,55-59,660
201009,Global Affairs Canada,55-59,660
201206,Department of Justice Canada,30-34,660
201206,Transport Canada,40-44,660
201306,Agriculture and Agri-Food Canada,20-24,660
201312,Canada Revenue Agency,65-69,660
201406,Statistics Canada,55-59,660
201509,Veterans Affairs Canada,50-54,660
200803,Immigration Refugees and Citizenship Canada,45-49,659
200809,Indigenous and Northern Affairs Canada,50-54,659
200812,Immigration Refugees and Citizenship Canada,45-49,659
201006,Immigration Refugees and Citizenship Canada,50-54,659
201109,Immigration Refugees and Citizenship Canada,50-54,659
201112,Department of Justice Canada,50-54,659
201206,Environment and Climate Change Canada,55-59,659
201412,Department of Justice Canada,50-54,659
201506,Canadian Food Inspection Agency,30-34,659
201509,Indigenous and Northern Affairs Canada,35-39,659
200806,Innovation Science and Economic Development Canada,30-34,658
200906,Global Affairs Canada,55-59,658
201006,Canadian Food Inspection Agency,25-29,658
201012,Environment and Climate Change Canada,55-59,658
201303,Environment and Climate Change Canada,55-59,658
201409,Canada Revenue Agency,65-69,658
200906,Indigenous and Northern Affairs Canada,30-34,657
200906,Immigration Refugees and Citizenship Canada,50-54,657
200906,Statistics Canada,25-29,657
201106,Canadian Food Inspection Agency,25-29,657
201203,National Defence,20-24,657
201412,Agriculture and Agri-Food Canada,40-44,657
201512,Natural Resources Canada,50-54,657
200909,Immigration Refugees and Citizenship Canada,45-49,656
200912,Transport Canada,40-44,656
201006,National Research Council Canada,40-44,656
201012,Global Affairs Canada,55-59,656
201106,Department of Justice Canada,50-54,656
201112,Global Affairs Canada,55-59,656
201203,Innovation Science and Economic Development Canada,30-34,656
201303,Immigration Refugees and Citizenship Canada,50-54,656
201412,Department of Justice Canada,35-39,656
201506,Shared Services Canada,55-59,656
200806,Parks Canada,20-24,655
200806,Indigenous and Northern Affairs Canada,50-54,655
200809,Transport Canada,40-44,655
201009,National Research Council Canada,40-44,655
201009,Royal Canadian Mounted Police (Civilian Staff),30-34,655
201109,Employment and Social Development Canada,20-24,655
201209,Department of Justice Canada,30-34,655
201309,Royal Canadian Mounted Police (Civilian Staff),30-34,655
201503,Public Services and Procurement Canada,60-64,655
201509,Parks Canada,40-44,655
201512,Veterans Affairs Canada,50-54,655
201603,Veterans Affairs Canada,50-54,655
200812,Public Services and Procurement Canada,60-64,654
201109,Correctional Service Canada,60-64,654
201206,Correctional Service Canada,60-64,654
201303,Indigenous and Northern Affairs Canada,30-34,654
201306,Transport Canada,55-59,654
201306,Royal Canadian Mounted Police (Civilian Staff),30-34,654
201406,Environment and Climate Change Canada,55-59,654
200812,Canadian Food Inspection Agency,25-29,653
201103,Royal Canadian Mounted Police (Civilian Staff),30-34,653
201312,Royal Canadian Mounted Police (Civilian Staff),30-34,653
201406,Agriculture and Agri-Food Canada,40-44,653
201406,Department of Justice Canada,35-39,653
201512,Agriculture and Agri-Food Canada,40-44,653
200812,Environment and Climate Change Canada,55-59,652
201103,National Research Council Canada,40-44,652
201112,Agriculture and Agri-Food Canada,30-34,652
201206,Natural Resources Canada,45-49,652
201303,Immigration Refugees and Citizenship Canada,45-49,652
201506,Agriculture and Agri-Food Canada,40-44,652
200806,Transport Canada,40-44,651
200912,Royal Canadian Mounted Police (Civilian Staff),30-34,651
201003,Royal Canadian Mounted Police (Civilian Staff),30-34,651
201009,Environment and Climate Change Canada,55-59,651
201112,Canada Border Services Agency,20-24,651
201303,Canada Revenue Agency,65-69,651
201409,Department of Justice Canada,35-39,651
200806,Transport Canada,55-59,650
200806,Statistics Canada,25-29,650
200903,Department of Justice Canada,45-49,650
200909,Parks Canada,55-59,650
201003,Statistics Canada,25-29,650
201106,Royal Canadian Mounted Police (Civilian Staff),30-34,650
201109,Natural Resources Canada,55-59,650
200903,Canadian Food Inspection Agency,25-29,649
201106,Public Services and Procurement Canada,20-24,649
201306,Canada Border Services Agency,20-24,649
201309,Immigration Refugees and Citizenship Canada,50-54,649
201312,Immigration Refugees and Citizenship Canada,45-49,649
201403,Environment and Climate Change Canada,55-59,649
201503,Agriculture and Agri-Food Canada,40-44,649
200803,Innovation Science and Economic Development Canada,35-39,648
200903,Indigenous and Northern Affairs Canada,40-44,648
200903,Public Services and Procurement Canada,60-64,648
200906,Environment and Climate Change Canada,55-59,648
201012,Statistics Canada,25-29,648
201212,Department of Justice Canada,50-54,648
201409,Environment and Climate Change Canada,55-59,648
201412,Public Services and Procurement Canada,60-64,648
201503,Department of Justice Canada,35-39,648
200812,Royal Canadian Mounted Police (Civilian Staff),55-59,647
200909,Public Services and Procurement Canada,60-64,647
201103,Department of Justice Canada,50-54,647
201206,Immigration Refugees and Citizenship Canada,50-54,647
201206,Department of Justice Canada,50-54,647
201303,Correctional Service Canada,60-64,647
201309,Statistics Canada,30-34,647
201603,Natural Resources Canada,50-54,647
200806,Immigration Refugees and Citizenship Canada,50-54,646
200812,Department of Justice Canada,45-49,646
200903,Immigration Refugees and Citizenship Canada,50-54,646
201103,Environment and Climate Change Canada,55-59,646
201106,Environment and Climate Change Canada,55-59,646
201106,National Research Council Canada,40-44,646
201109,Global Affairs Canada,55-59,646
201112,Natural Resources Canada,55-59,646
201206,Global Affairs Canada,55-59,646
201209,Global Affairs Canada,25-29,646
201209,Department of Justice Canada,50-54,646
201509,Shared Services Canada,55-59,646
201603,Department of Justice Canada,35-39,646
201603,Statistics Canada,25-29,646
200806,Environment and Climate Change Canada,25-29,645
200812,Immigration Refugees and Citizenship Canada,50-54,645
201009,Parks Canada,35-39,645
201106,Parks Canada,35-39,645
201412,Immigration Refugees and Citizenship Canada,25-29,645
201503,Shared Services Canada,55-59,645
201509,Agriculture and Agri-Food Canada,40-44,645
201509,Public Services and Procurement Canada,60-64,645
200903,Environment and Climate Change Canada,55-59,644
201006,Natural Resources Canada,55-59,644
201206,Immigration Refugees and Citizenship Canada,45-49,644
201603,Indigenous and Northern Affairs Canada,35-39,644
200806,Parks Canada,40-44,643
201106,Parks Canada,40-44,643
201209,Immigration Refugees and Citizenship Canada,35-39,643
201503,Transport Canada,35-39,643
200809,Immigration Refugees and Citizenship Canada,45-49,642
200906,Public Services and Procurement Canada,20-24,642
201103,Parks Canada,45-49,642
201106,Global Affairs Canada,55-59,642
201506,Parks Canada,35-39,642
200903,Royal Canadian Mounted Police (Civilian Staff),30-34,641
200903,Royal Canadian Mounted Police (Civilian Staff),55-59,641
200912,Natural Resources Canada,55-59,641
201003,Natural Resources Canada,55-59,641
201212,Department of Justice Canada,30-34,641
201403,Fisheries and Oceans Canada,25-29,641
201412,Parks Canada,50-54,641
201506,Immigration Refugees and Citizenship Canada,25-29,641
201506,Public Services and Procurement Canada,60-64,641
200906,Innovation Science and Economic Development Canada,35-39,640
200912,Department of Justice Canada,30-34,640
201206,Veterans Affairs Canada,45-49,640
200809,Immigration Refugees and Citizenship Canada,50-54,639
201106,Natural Resources Canada,55-59,639
201109,Department of Justice Canada,50-54,639
201212,Immigration Refugees and Citizenship Canada,50-54,639
201212,Public Services and Procurement Canada,60-64,639
201303,Department of Justice Canada,50-54,639
201506,Parks Canada,40-44,639
201509,Fisheries and Oceans Canada,25-29,639
201603,National Research Council Canada,45-49,639
200809,Statistics Canada,25-29,638
200812,Department of Justice Canada,50-54,638
200906,Department of Justice Canada,30-34,638
200909,Environment and Climate Change Canada,55-59,638
200909,Department of Justice Canada,30-34,638
201012,Natural Resources Canada,55-59,638
201103,Natural Resources Canada,55-59,638
201109,Parks Canada,40-44,638
201203,Natural Resources Canada,55-59,638
201303,Statistics Canada,30-34,638
201409,Department of Justice Canada,50-54,638
201412,Shared Services Canada,55-59,638
201512,Canadian Food Inspection Agency,30-34,638
201512,National Research Council Canada,45-49,638
200806,Innovation Science and Economic Development Canada,35-39,637
200809,Department of Justice Canada,50-54,637
200912,Statistics Canada,25-29,637
201103,Canada Border Services Agency,20-24,637
201109,Immigration Refugees and Citizenship Canada,35-39,637
201403,Immigration Refugees and Citizenship Canada,25-29,637
200903,Innovation Science and Economic Development Canada,35-39,636
200909,Immigration Refugees and Citizenship Canada,30-34,636
201006,Department of Justice Canada,50-54,636
201012,Department of Justice Canada,50-54,636
201203,Immigration Refugees and Citizenship Canada,40-44,636
201209,Environment and Climate Change Canada,55-59,636
200909,Department of Justice Canada,50-54,635
201009,Natural Resources Canada,55-59,635
201106,Correctional Service Canada,60-64,635
201209,Immigration Refugees and Citizenship Canada,45-49,635
201303,Immigration Refugees and Citizenship Canada,40-44,635
201306,Environment and Climate Change Canada,55-59,635
201112,Parks Canada,45-49,634
201312,Environment and Climate Change Canada,55-59,634
201209,Transport Canada,40-44,633
201403,Health Canada,25-29,633
201403,Statistics Canada,55-59,633
201406,Public Services and Procurement Canada,60-64,633
201409,Parks Canada,55-59,633
201409,Fisheries and Oceans Canada,25-29,633
201503,Parks Canada,50-54,633
201506,Department of Justice Canada,35-39,633
201603,Parks Canada,50-54,633
200806,Department of Justice Canada,45-49,632
201203,Global Affairs Canada,55-59,632
201303,National Research Council Canada,45-49,632
201303,Public Services and Procurement Canada,60-64,632
201506,Fisheries and Oceans Canada,25-29,632
200809,Department of Justice Canada,45-49,631
200912,Department of Justice Canada,50-54,631
201206,Immigration Refugees and Citizenship Canada,30-34,631
201306,Global Affairs Canada,25-29,631
201409,Transport Canada,40-44,631
201509,Department of Justice Canada,35-39,631
200906,Public Services and Procurement Canada,60-64,630
201209,Statistics Canada,55-59,630
201406,Transport Canada,40-44,630
200903,Department of Justice Canada,50-54,629
201009,Department of Justice Canada,50-54,629
201109,National Defence,20-24,629
201109,Environment and Climate Change Canada,55-59,629
201112,Immigration Refugees and Citizenship Canada,40-44,629
201206,Innovation Science and Economic Development Canada,30-34,629
201212,Transport Canada,40-44,629
201306,Canada Revenue Agency,65-69,629
201312,Department of Justice Canada,50-54,629
201512,Parks Canada,50-54,629
200809,Innovation Science and Economic Development Canada,35-39,628
200812,Indigenous and Northern Affairs Canada,40-44,628
200912,Canadian Food Inspection Agency,25-29,628
201103,Immigration Refugees and Citizenship Canada,40-44,628
201112,National Research Council Canada,40-44,628
201509,Canadian Food Inspection Agency,30-34,628
201306,Indigenous and Northern Affairs Canada,30-34,627
201306,Statistics Canada,30-34,627
201312,Global Affairs Canada,55-59,627
201403,Department of Justice Canada,50-54,627
201403,Transport Canada,40-44,627
201406,National Research Council Canada,45-49,627
201509,National Research Council Canada,45-49,627
200806,Immigration Refugees and Citizenship Canada,45-49,626
201003,Public Services and Procurement Canada,20-24,626
201006,Parks Canada,40-44,626
201012,Correctional Service Canada,60-64,626
201103,Correctional Service Canada,60-64,626
201109,National Research Council Canada,40-44,626
201203,Agriculture and Agri-Food Canada,30-34,626
201212,Global Affairs Canada,25-29,626
201309,Indigenous and Northern Affairs Canada,30-34,626
201312,Transport Canada,40-44,626
201406,Department of Justice Canada,50-54,626
200812,Innovation Science and Economic Development Canada,35-39,625
200912,Correctional Service Canada,60-64,625
201103,Immigration Refugees and Citizenship Canada,35-39,625
201109,Parks Canada,35-39,625
201206,Public Services and Procurement Canada,60-64,625
201306,Immigration Refugees and Citizenship Canada,50-54,625
201403,Parks Canada,50-54,625
201409,National Research Council Canada,45-49,625
200806,Parks Canada,55-59,624
200812,Natural Resources Canada,55-59,624
200903,Department of Justice Canada,30-34,624
201003,Department of Justice Canada,50-54,624
201012,Immigration Refugees and Citizenship Canada,40-44,624
201209,Veterans Affairs Canada,45-49,624
201212,Parks Canada,50-54,624
201306,Immigration Refugees and Citizenship Canada,45-49,624
201406,Agriculture and Agri-Food Canada,35-39,624
201412,National Research Council Canada,45-49,624
201509,Immigration Refugees and Citizenship Canada,25-29,624
201603,Canadian Food Inspection Agency,30-34,624
200812,Department of Justice Canada,30-34,623
201003,Correctional Service Canada,60-64,623
201206,Parks Canada,40-44,623
201209,Global Affairs Canada,55-59,623
201209,Immigration Refugees and Citizenship Canada,30-34,623
201212,Immigration Refugees and Citizenship Canada,40-44,623
201312,Indigenous and Northern Affairs Canada,30-34,623
201503,Fisheries and Oceans Canada,25-29,623
201103,Canadian Food Inspection Agency,25-29,622
201206,Natural Resources Canada,55-59,622
201303,Transport Canada,40-44,622
201309,Immigration Refugees and Citizenship Canada,45-49,622
201406,Fisheries and Oceans Canada,25-29,622
200809,Public Services and Procurement Canada,60-64,621
201003,Immigration Refugees and Citizenship Canada,40-44,621
201109,Statistics Canada,20-24,621
201209,Natural Resources Canada,45-49,621
201212,Statistics Canada,55-59,621
201303,Department of Justice Canada,30-34,621
201312,Parks Canada,50-54,621
200809,Royal Canadian Mounted Police (Civilian Staff),55-59,620
200906,Natural Resources Canada,55-59,620
201306,National Research Council Canada,45-49,620
201309,Immigration Refugees and Citizenship Canada,40-44,620
201503,Global Affairs Canada,55-59,620
201503,Natural Resources Canada,55-59,620
201209,Immigration Refugees and Citizenship Canada,50-54,619
201209,Public Services and Procurement Canada,60-64,619
201306,Global Affairs Canada,55-59,619
201309,Canada Revenue Agency,65-69,619
201312,Statistics Canada,55-59,619
201412,Transport Canada,35-39,619
201503,National Research Council Canada,45-49,619
200903,Natural Resources Canada,55-59,618
200906,Parks Canada,40-44,618
200906,Department of Justice Canada,50-54,618
201106,Immigration Refugees and Citizenship Canada,35-39,618
201212,Shared Services Canada,35-39,618
201306,Department of Justice Canada,50-54,618
201312,National Research Council Canada,45-49,618
200803,Environment and Climate Change Canada,25-29,617
200812,Royal Canadian Mounted Police (Civilian Staff),30-34,617
201106,Parks Canada,30-34,617
201309,Environment and Climate Change Canada,55-59,617
201403,Global Affairs Canada,55-59,617
201403,National Research Council Canada,45-49,617
200909,Natural Resources Canada,55-59,616
201309,Global Affairs Canada,55-59,616
201312,Agriculture and Agri-Food Canada,35-39,616
200806,Department of Justice Canada,50-54,614
200809,Environment and Climate Change Canada,55-59,614
201006,Statistics Canada,25-29,614
201206,Immigration Refugees and Citizenship Canada,35-39,614
201409,Shared Services Canada,55-59,614
201503,Agriculture and Agri-Food Canada,35-39,614
200803,Environment and Climate Change Canada,55-59,613
200803,Public Services and Procurement Canada,60-64,613
200806,Public Services and Procurement Canada,60-64,613
201209,Innovation Science and Economic Development Canada,30-34,613
201303,Statistics Canada,55-59,613
201312,Fisheries and Oceans Canada,25-29,613
201403,Indigenous and Northern Affairs Canada,30-34,613
201406,Canada Border Services Agency,20-24,613
201506,National Research Council Canada,45-49,613
